path,input_files_field,split,strip,columns
,,,,
id,ID,,,
location_type,,,,
url,WEBSITE_ADDRESS,,,
organization_id,ORGANIZATION_ID,,,
name,NAME,,,
alternate_name,ALTERNATE_NAME,,,
description,DESCRIPTION,,,
transportation,TRANSPORTATION,,,
latitude,LATITUDE,,,
longitude,LONGITUDE,,,
external_identifier,,,,
external_identifier_type,,,,
schedules[].id,,,,
schedules[].description,HOURS,,,
languages[].id,,,,
addresses[].id,,,,
addresses[].location_id,,,,
addresses[].address_1,,,,
addresses[].city,,,,
addresses[].region,,,,
addresses[].state_province,,,,
addresses[].postal_code,,,,
addresses[].country,,,,
addresses[].address_type,,,,
phones[].id,,,,
phones[].number,,,,